MNG dose (mcg by ml),cell N,nucleus N,Area (px),Perimeter (px),Circularity,Height (px),Width (px),Gray Value (min),Gray Value (max),Gray Value (Mean),Gray Value (Median),Integrated Density
0,1,1,967,120.376154,0.838601,36,34,34,94,48.741468,46,47133
0,1,2,1105,130.7193,0.81263,36,38,33,117,51.257014,47,56639
0,2,1,1824,164.760931,0.844357,50,46,26,98,43.122807,40,78656
0,2,2,2327,185.63961,0.848526,56,50,31,106,47.729265,45,111066
0,3,1,1240,136.083261,0.841438,42,36,34,99,51.979839,50,64455
0,3,2,1285,136.275649,0.869514,40,40,33,99,52.446693,50,67394
0,4,1,1313,138.325902,0.862318,40,40,37,126,64.680883,61,84926
0,4,2,1491,150.325902,0.829125,42,44,30,97,48.128102,45,71759
0,5,1,1086,126.325902,0.855175,38,36,36,112,54.415285,51,59095
0,5,2,1060,124.669048,0.857035,38,34,33,94,48.286792,46,51184
0,6,1,1192,132.376154,0.854804,38,38,23,108,36.986577,34,44088
0,6,2,1021,122.426407,0.856023,34,36,30,121,48.352595,45,49368
0,7,1,863,111.59798,0.870779,32,32,28,93,42.716107,40,36864
0,7,2,765,107.84062,0.826621,33,30,28,97,42.360784,39,32406
0,8,1,1391,141.447222,0.873671,40,42,44,133,74.832495,72,104092
0,8,2,1305,141.547727,0.818492,40,40,34,119,59.783908,55,78018
0,9,1,1773,164.861436,0.819748,48,46,26,98,44.532995,43,78957
0,9,2,1584,153.154329,0.848607,42,46,30,110,53.126894,49,84153
0,10,1,1849,166.325902,0.839899,44,50,30,92,49.011357,46,90622
0,10,2,2116,179.39697,0.826219,48,54,28,88,42.844991,40,90660
0,11,1,1306,140.083261,0.836336,38,42,35,115,54.517611,51,71200
0,11,2,1406,144.568542,0.845371,44,40,36,105,54.984353,52,77308
0,12,1,1287,138.911688,0.838129,42,38,37,103,54.490287,52,70129
0,12,2,1170,129.689863,0.874145,39,38,36,114,53.851282,50,63006
0,13,1,1860,167.689863,0.831207,48,48,31,133,52.736022,47,98089
0,13,2,1053,127.012193,0.820252,36,36,34,94,50.927825,49,53627
0,14,1,1157,130.325902,0.856016,38,38,35,98,52.132239,50,60317
0,14,2,1169,133.84062,0.820065,38,38,33,107,50.45509,48,58982
0,15,1,1285,138.033009,0.847514,38,42,23,87,37.655253,35,48387
0,15,2,1019,124.961941,0.820028,36,36,21,87,32.609421,30,33229
0,16,1,1024,124.083261,0.835764,36,36,32,110,51.175781,49,52404
0,16,2,1444,148.618795,0.821542,42,43,35,104,52.898199,51,76385
0,17,1,1105,126.426407,0.868753,38,34,22,113,36.349321,31,40166
0,17,2,1143,130.911688,0.838107,38,38,30,114,55.333333,51,63246
0,18,1,1531,156.568542,0.784831,48,42,44,127,65.781842,62,100712
0,18,2,1383,146.911688,0.805229,44,40,38,118,62.204628,59,86029
0,19,1,774,107.012193,0.849345,30,32,25,81,40.478036,37,31330
0,19,2,752,105.355339,0.851363,30,30,26,72,39.175532,36,29460
0,20,1,998,120.083261,0.869712,34,36,30,94,47.159319,45,47065
0,20,2,937,116.376154,0.869404,34,34,30,101,47.210245,44,44236
0,21,1,1225,136.961941,0.820628,39,38,33,106,51.278367,48,62816
0,21,2,1089,127.59798,0.840524,34,38,27,99,42.307622,36,46073
0,22,1,984,120.183766,0.856078,34,34,37,97,53.361789,51,52508
0,22,2,1945,174.911688,0.798899,54,44,30,112,47.332134,44,92061
0,23,1,1604,153.740115,0.852786,44,44,22,98,34.328554,32,55063
0,23,2,1767,161.346717,0.852955,48,46,20,108,34.89983,31,61668
0,24,1,1310,137.447222,0.871383,40,40,19,83,32.567176,30,42663
0,24,2,1252,135.790368,0.85325,40,38,20,92,30.874601,29,38655
0,25,1,1436,146.618795,0.839431,42,42,36,122,56.836351,54,81617
0,25,2,1340,141.740115,0.838164,40,42,30,121,51.650746,49,69212
0,26,1,1366,141.154329,0.861533,42,40,26,89,42.103221,39,57513
0,26,2,943,117.84062,0.853358,36,32,24,85,36.838812,34,34739
0,27,1,1770,164.275649,0.824208,47,47,20,79,30.319209,29,53665
0,27,2,1568,157.740115,0.791902,48,42,19,68,29.371173,27,46054
0,28,1,1006,120.911688,0.864712,35,36,28,122,41.573559,38,41823
0,28,2,1166,130.325902,0.862674,38,38,26,107,38.811321,36,45254
0,29,1,1344,142.618795,0.830339,40,42,26,108,45.327381,42,60920
0,29,2,1053,127.012193,0.820252,36,36,24,99,40.358025,36,42497
0,30,1,1095,127.497475,0.846488,38,36,31,98,48.215525,46,52796
0,30,2,995,121.547727,0.846329,34,36,28,107,45.064322,43,44839
0,31,1,798,110.426407,0.822369,32,32,24,88,35.914787,33,28660
0,31,2,908,116.376154,0.842496,32,36,22,73,34.451542,33,31282
0,32,1,1147,128.083261,0.878595,36,38,31,78,45.231909,44,51881
0,32,2,1050,126.133514,0.829351,36,36,27,104,45.002857,43,47253
0,33,1,1188,131.497475,0.863359,38,38,22,107,35.924242,33,42678
0,33,2,1276,138.033009,0.841578,42,38,23,113,39.19906,36,50018
0,34,1,1026,125.254834,0.821804,40,32,27,87,41.285575,39,42359
0,34,2,1053,127.790368,0.810293,38,36,30,71,43.02944,41,45310
0,35,1,1247,136.083261,0.846188,38,40,19,95,33.340016,31,41575
0,35,2,1312,137.740115,0.869006,44,36,23,98,34.871951,32,45752
0,36,1,1285,138.426407,0.842704,36,42,21,77,31.320623,28,40247
0,36,2,1105,127.890873,0.848971,34,38,19,81,28.900452,26,31935
0,37,1,1391,146.911688,0.809887,42,42,26,108,45.197699,41,62870
0,37,2,1374,141.154329,0.866579,40,42,28,112,43.967249,39,60411
0,38,1,1799,164.861436,0.831769,46,48,35,100,50.415787,49,90698
0,38,2,1921,174.133514,0.796109,40,56,36,108,54.672046,52,105025
0,39,1,1011,123.204581,0.836965,36,36,31,89,48.281899,46,48813
0,39,2,956,120.476659,0.827679,34,34,32,94,48.754184,47,46609
0,40,1,2161,179.589358,0.841983,52,52,45,122,67.114762,64,145035
0,40,2,2609,199.195959,0.826272,54,62,49,131,71.561135,68,186703
0,41,1,1956,174.811183,0.804341,48,52,40,119,64.663088,61,126481
0,41,2,1997,175.104076,0.818456,50,50,40,114,63.47972,61,126769
0,42,1,3106,225.539105,0.767304,78,50,27,95,46.668384,44,144952
0,42,2,1413,146.325902,0.829296,44,40,26,83,42.68719,41,60317
0,43,1,1656,158.325902,0.830169,46,44,31,104,48.917874,47,81008
0,43,2,1666,156.568542,0.854035,44,46,31,107,49.19928,47,81966
0,44,1,2101,178.417785,0.829392,54,50,28,112,48.690624,45,102299
0,44,2,2234,180.175144,0.864775,52,52,32,108,49.238138,46,109998
0,45,1,1440,146.618795,0.841769,42,42,39,107,59.547222,57,85748
0,45,2,1280,135.790368,0.872332,38,40,39,114,61.522656,58,78749
0,46,1,2015,172.760931,0.848387,48,52,32,119,54.223325,50,109260
0,46,2,1916,172.225397,0.811729,48,51,30,117,49.552192,45,94942
0,47,1,2172,182.225397,0.821962,52,52,29,110,51.122007,46,111037
0,47,2,1942,170.811183,0.836424,50,48,28,100,45.42379,42,88213
0,48,1,1248,138.51829,0.817354,40,42,31,116,51.127404,48,63807
0,48,2,2616,203.003571,0.797701,56,60,29,132,53.618884,48,140267
0,49,1,2153,177.63961,0.857382,52,50,30,108,52.252671,49,112500
0,49,2,1955,174.710678,0.804855,50,52,36,105,50.956522,46,99620
0,50,1,1184,131.497475,0.860452,38,38,26,99,40.271115,37,47681
0,50,2,1175,132.961941,0.835205,38,38,26,84,39.75234,37,46709
0,51,1,1755,161.932504,0.841044,46,48,50,142,74.445584,70,130652
0,51,2,1928,168.660426,0.851708,48,52,46,140,72.384855,68,139558
0,52,1,1359,141.154329,0.857119,42,40,33,127,56.935247,52,77375
0,52,2,1644,158.033009,0.827211,44,46,26,114,46.026156,43,75667
0,53,1,817,114.133514,0.788144,36,30,34,111,51.430845,47,42019
0,53,2,1209,136.961941,0.809909,38,40,30,92,48.259719,46,58346
0,54,1,842,110.426407,0.867713,34,30,29,91,42.811164,40,36047
0,54,2,810,109.84062,0.843663,34,30,29,93,42.428395,39,34367
0,55,1,2115,182.51829,0.797825,54,50,24,93,43.501182,41,92005
0,55,2,1616,153.63961,0.86029,44,46,23,94,40.462252,37,65387
0,56,1,1315,140.083261,0.842099,42,38,24,77,37.180228,35,48892
0,56,2,1309,138.325902,0.859691,42,38,24,130,40.198625,35,52620
0,57,1,1146,132.669048,0.818192,38,38,32,95,51.046248,49,58499
0,57,2,1168,132.476659,0.836323,36,38,30,101,48.514555,46,56665
0,58,1,1382,144.669048,0.829787,42,40,23,102,52.75398,51,72906
0,58,2,1345,143.497475,0.820812,42,40,27,95,44.823792,42,60288
0,59,1,878,114.7193,0.838362,34,32,24,77,37.854214,36,33236
0,59,2,1040,124.376154,0.844829,36,36,27,106,43.907692,40,45664
0,60,1,993,122.426407,0.832547,36,34,33,117,54.560926,49,54179
0,60,2,1024,125.012193,0.823389,34,37,32,136,54.555664,51,55865
0,61,1,1138,131.204581,0.830719,38,38,30,87,48.249561,46,54908
0,61,2,1124,132.033009,0.810235,38,39,29,91,47.609431,45,53513
0,62,1,1430,145.154329,0.852876,42,42,34,108,53.141259,49,75992
0,62,2,1423,143.982756,0.862569,42,42,30,100,48.983134,46,69703
0,63,1,1411,146.618795,0.824817,44,40,35,90,50.007796,48,70561
0,63,2,1279,138.033009,0.843557,42,38,32,80,46.701329,45,59731
0,64,1,1988,173.740115,0.827611,50,48,33,110,47.960765,45,95346
0,64,2,1982,176.083261,0.803299,50,48,34,89,50.253784,48,99603
0,65,1,2120,180.175144,0.820646,50,54,44,106,63.163208,60,133906
0,65,2,1813,166.911688,0.817776,44,50,39,113,59.323221,54,107553
0,66,1,1267,136.376154,0.856071,38,40,35,100,55.534333,52,70362
0,66,2,1393,146.426407,0.816436,40,42,36,117,56.650395,53,78914
0,67,1,2253,185.053824,0.826751,54,52,33,136,57.285841,51,129065
0,67,2,1726,162.033009,0.826121,44,48,30,102,48.334878,44,83426
0,68,1,1386,145.154329,0.826634,44,40,30,98,46.612554,44,64605
